name,personId,postseason_games,reg_season_games,tour_date_postseason,tour_date_reg_season,tot_games,tot_tour_date_games,tot_tour_date_percent,postseason_tour_date_percent,reg_season_tour_date_percent
David Roddy,1631223,0,33,0,2,33,2,0.06060606060606061,NA,0.06060606060606061
Davion Mitchell,1630558,6,74,1,2,80,3,0.0375,0.16666666666666666,0.02702702702702703
Day'Ron Sharpe,1630549,0,50,0,3,50,3,0.06,NA,0.06
De'Aaron Fox,1628368,0,62,0,19,62,19,0.3064516129032258,NA,0.3064516129032258
De'Andre Hunter,1629631,8,63,1,13,71,14,0.19718309859154928,0.125,0.20634920634920634
De'Anthony Melton,1629001,0,6,0,2,6,2,0.3333333333333333,NA,0.3333333333333333
DeAndre Jordan,201599,7,56,0,0,63,0,0,0,0
DeMar DeRozan,201942,1,77,0,21,78,21,0.2692307692307692,0,0.2727272727272727
Dean Wade,1629731,9,59,0,0,68,0,0,0,0
Deandre Ayton,1629028,0,40,0,2,40,2,0.05,NA,0.05
Dejounte Murray,1627749,0,31,0,16,31,16,0.5161290322580645,NA,0.5161290322580645
Delon Wright,1626153,6,40,0,1,46,1,0.021739130434782608,0,0.025
Deni Avdija,1630166,0,72,0,12,72,12,0.16666666666666666,NA,0.16666666666666666
Dennis Schroder,203471,6,75,0,26,81,26,0.32098765432098764,0,0.3466666666666667
Dereck Lively II,1641726,2,36,0,0,38,0,0,0,0
Derrick Jones Jr.,1627884,7,76,0,3,83,3,0.03614457831325301,0,0.039473684210526314
Derrick White,1628401,11,76,3,20,87,23,0.26436781609195403,0.2727272727272727,0.2631578947368421
Desmond Bane,1630217,6,68,3,10,74,13,0.17567567567567569,0.5,0.14705882352941177
